0	1		
1	0	2		
2	1	3		
3	2	4		
4	3	5	20	
5	4	6		
6	5	7		
7	6	8		
8	7	9	24	
9	8			
10	11			
11	10	12		
12	11	13	28	
13	12	14		
14	13	15		
15	14	31		
16	0	17	32	
17	16	18	33	
18	17	19		
19	18			
20	4			
21	22			
22	21	23		
23	22	24		
24	8	25		
25	24	26	41	
26	25	27		
27	26	43		
28	12	44		
29	30	45		
30	29			
31	15	47		
32	16	33	48	
33	17	32	49	
34	35	50		
35	34	36	51	
36	35	37		
37	36	38		
38	37	39		
39	38	40	55	
40	39			
41	25	42		
42	41	58		
43	27	59		
44	28	60		
45	29	46	61	
46	45	47	62	
47	31	46		
48	32			
49	33	65		
50	34	51	66	
51	35	67		
52	53	68		
53	52	54		
54	53	70		
55	39	56	71	
56	55	57		
57	56			
58	42	74		
59	43			
60	44	76		
61	45	77		
62	46	78		
63	79			
64	65	80		
65	49	64	81	
66	50	67		
67	51	66		
68	52	69	84	
69	68	70		
70	69	71	54	
71	55	70	52	
72	71	73		
73	72	89		
74	58	75		
75	74	76		
76	60	75	92	
77	61	93		
78	62	79		
79	63	78		
80	64			
81	65	82	97	
82	81	83		
83	82	84		
84	68	83		
85	86			
86	85	87		
87	86	88		
88	87	104		
89	73	90	105	
90	89	91		
91	90	107		
92	76	108		
93	77	94		
94	93	95		
95	94			
96	97	112		
97	81	96	113	
98	99	114		
99	98	100		
100	99	101	116	
101	100	102	117	
102	101	103		
103	102	104		
104	103	105		
105	89	104	121	
106	107	122		
107	91	106	123	
108	92	124		
109	110	125		
110	109	111		
111	110	127		
112	96	113		
113	97	112	129	
114	98	130		
115	116			
116	115	100	117	
117	101	116		
118	134			
119	120	135		
120	119	136		
121	105	137		
122	106	138		
123	107	139		
124	108	140		
125	109			
126	127	142		
127	111	126		
128	129	144		
129	113	128	130	135
130	114	129		
131	132	147		
132	131	133		
133	132	134	149	
134	118	133	150	
135	119	136	151	
136	120	135	152	
137	121	153		
138	122	154		
139	123	155		
140	124	141		
141	140	142		
142	126	141	133	158
143	142			
144	128			
145	129			
146	162			
147	131	163		
148	149	164		
149	133	148		
150	134	151		
151	135	150		
152	136	151		
153	137	169		
154	138	170		
155	139	171		
156	172			
157	158	173		
158	142	157	159	
159	158	175		
160	161	176		
161	160	177		
162	146	178		
163	147	179		
164	148	180		
165	166	181		
166	165	182		
167	168	183		
168	167	184		
169	153	185		
170	154	186		
171	155	187		
172	156	188		
173	157	174		
174	173	190		
175	159	191		
176	160	177		
177	161	193		
178	162	194		
179	163	195		
180	164	196		
181	165	197		
182	166	198		
183	167	199		
184	168	200		
185	169	201		
186	170	202		
187	171	203		
188	172	204		
189	190	205		
190	174	189		
191	175	207		
192	193	208		
193	177	192	209	
194	178	210		
195	179	211		
196	180	212		
197	181	213		
198	182	214		
199	183	215		
200	184	216		
201	185	217		
202	186	218		
203	187	219		
204	188	220		
205	189	206		
206	222	205		
207	191	223		
208	192			
209	193	225		
210	194	226		
211	195	227		
212	196	228		
213	197	229		
214	198	230		
215	199	231		
216	200	232		
217	201			
218	202			
219	203	235		
220	204	236		
221	222	237		
222	206	221		
223	207			
224	225	240		
225	209	224	226	
226	210	225		
227	211	243		
228	212	229		
229	213	228		
230	214	231		
231	215	230		
232	216	233		
233	232	324		
234	233	235		
235	219	234		
236	220	252		
237	221	238		
238	237	239		
239	238	255		
240	224	241		
241	240	242		
242	241	243		
243	227	242	244	
244	243	245		
245	244	246		
246	245	247		
247	246	248		
248	247	249		
249	248	250		
250	249	251		
251	250	252		
252	236	251	253	
253	252	254		
254	253	255		
255	239	254	
0	
